,Job_Titile,Job_URL,Company_URL,Company,Rating,Location,Job_Tyoe,Job_description,Post_Date,Salary
19,Board Certified Behavior Analyst (BCBA)- New Clinic!,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACaI7dvFj1kG90XpR0ROSX9mYROX8BPPfmEaZiqE7oXVp2H-l0f8bs2KjmXMdRf7LXBzxMG40MOX5HWWzDniqoUjA0HNW9jsfGZ4sJ9POG392Jl3CwAUSU8Gf714Ngpibi_bOy880Og9gCFoBBxXG3xInJM5kKEr3jU1xyYp5jvyJJvwrBYaQQso0XZS7beUvveTjnQYgvvQ109qHv178XVVPtEB77FotTQbZu_isPHBOc5T5ImeZUXC7EQO9Dh9qg62tOsDSindHRJ52vKPMgsiTS9-qadxjPJ14vqhdi5cqfCu-pGV4hsR6y2oCiYonQYkUJ0TR7hv0q1ytTkHTcPfUfPVWchI_W9T1nXRW_X8qGLv1-4MFT5iXLhwJpHsNDTuIACswm8ActWIb0SOrBuQDXMTN_N2iEg0z1BlRAme_mL-0vyYQ2fdGfITD_UGZgv_oSxnvF-2AFHi01Gowux3KRwGTCvm0dUEJYRpJTsAY81yJFKKXmQtDEMXujbHgjjnsFJmlPZnZXw6_guzbrTbVlDV68-z0=&xkcb=SoAy-_M3WwjlPs2eN50IbzkdCdPP&p=4&fvj=1&vjs=3,https://www.indeed.com/cmp/Stride-Autism-Centers,Stride Autism Centers,4.5,"Grand Island, NE 68801
+7 locations",Full-time,Stride’s ABA program for preschool learners (ages 2-6) utilizes both structured and natural teaching strategies.,2022-11-05,75000.0
21,Investment Analyst,https://www.indeed.com/rc/clk?jk=9395289ef8d1c7f2&fccid=595d42593839d3a2&vjs=3,https://www.indeed.com/cmp/3M,3M,3.9,"+1 location
Remote",Full-time,"Supporting the public equity, private investment, and absolute return portfolios through due diligence of investment managers and funds, including research,…",2022-11-23,68641.78181076673
24,Donor Data Analyst,https://www.indeed.com/rc/clk?jk=231fa36a1cc8a9fc&fccid=293914d8e1bfb395&vjs=3,https://www.indeed.com/cmp/The-Trevor-Project,The Trevor Project,4.2,Remote in United States,Full-time,Train team members on application use and best practices in data requirements and structureEnsure system interfaces with external applications to Development…,2022-11-05,75000.0
27,Provider Data Analyst - Remote,https://www.indeed.com/rc/clk?jk=597c85460fde53b4&fccid=d3d3520998346837&vjs=3,https://www.indeed.com/cmp/UnitedHealth-Group,UnitedHealth Group,3.6,"Remote in Hartford, CT 06102
+14 locations",Full-time,E2E Solution Team Data analysts will be responsible for identifying and proposing solutions for systemically identified TAT misses.,2022-12-03,2168.0
28,"Analyst, Data and Insights, Homepage",https://www.indeed.com/rc/clk?jk=ad078214e846f4f8&fccid=1b50fcfb150b1b48&vjs=3,https://www.indeed.com/cmp/The-New-York-Times,The New York Times,4.0,"New York, NY",Full-time,Experience with A/B testing.,2022-11-30,80000.0
30,Board Certified Behavior Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AepZiqrW7K3PHs0dmZV6DKVDdH2y7D4lQHI28j2gtWUEMY5OU0iQRPk-DNwHAAzSaoDWFFuLH3CpCHwfhpQPmDnZWg9UN9otA_FY4xKgJKXk3TAPd6VPoheWmnv1bT9jiAAvkezhyuMC5lPCWX6Rkb6G0RY2R7G1XfIrE4nmvdwr1qgbPSoh0alwYJ8Qt1qV8tcO74-8GTGZfw58DLX0hJ0-wnftB1RhegfRDGErMuaQfraP4HtlUe6YzD8rRe7YCWyTleVCs3ZHuHgCyYESVtNgleGdPMtHdxsj6bZ0huJLOLWLcKQP0Oj9f67JpeezZNxlhw9cpyvl2JjG-NYkknLC14_NQHC-M_JVKxLJrp1IaW2pMxYgUahPL1hKDhe9-awtMNzF01wJ7CNGx8L4HD4t5Akw_tUzHC2_w27qi-KFahCGazD_DJ2pF3x4veuyp5r6jebfXxo-vvd5r40U_srvprq-Odu09VpiW-tRgYM_IdVFbXpjRgNbglVdECfBo=&xkcb=SoAG-_M3WwjjXDRcDR0LbzkdCdPP&p=0&fvj=1&vjs=3,https://www.indeed.com/cmp/North-Oakland-Autism-Center,North Oakland Autism Center,3.9,"Lake Orion, MI 48362","Full-time
+1","Our ideal candidate will competently manage a caseload of 5-7 clients, provide supervision to behavior technicians and run parent coaching sessions that meet…",2022-11-05,50000.0
37,Program Analyst Workforce Development,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bx46gt1s5dhNCQE8lfpds0dS-n1_gUgDaFKJUD78QcORjhgV8B_ILuRo0zNFTgH1yNy7fhm9WmodtA_wnXZ7zsrb6vuJsOqC9tK9CjG6mkb7yzeg_itYvwK_WWrSUZjMD-78obk3XqaNhbb5qB8y2odWaGgH37NtBHA6glGH3LacSz7BRJE8Wt99u00OZabKWrBAkshmK00JpmHs1CbJ8X7meSm63j7R79RnFv5QEFAGRXcQtZzYzleXzsXNEb5SV4nuc5-E2VmmhuDc4uiSRO7vHBwhSIEVP-T4ha6BEwhon2n9cd0GUrQdYkJcb73G3GO_QQ-BfDBLBRhMC0XL6Y34r3K6jNRhDSIjhgHHh2nOsEhhQlS9lX7-D5L6A8RcxsRzrwE07SWp3DDfdwlUD_ihyTk32Sum5Zko3iG3j0KNNHmuMz0ZNXIN6ESKcYpUY=&xkcb=SoDN-_M3WwjjXCRcDR0LbzkdCdPP&p=7&fvj=0&vjs=3,https://www.indeed.com/cmp/National-Association-of-County-and-City-Health-Officials,National Association of County and City Health...,3.3,"Hybrid remote in Washington, DC 20036
+5 locations",Full-time,Bachelor's degree in relevant professional field with a minimum of 2-5 years of relevant experience and/or advanced technical training; or equivalent…,2022-12-01,61040.0
38,Financial Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXDli-LUjLVTGAiHoKFDxpNVnN0UctS-DvwNH_FNPWdUP0okFXHpekJiG_bzsiMThFb7c6cueQHQWSzbyRIgc2Fyi4wBgxgxB0PxbhIXaaC4Au9Ctnx7v32eaGGwDU2DvsgUqLnq6MuQhp34WUnzc3ec-_i4YUbqfvGswB9WbtoFR1w9WgnIGmFnsI5GyzhfTvxK84qQNBA7oz9T4UpWdFZDdwBu7zmtrFd_wuhige_GUqZSIIAzQfpam9srstJOm1UT5ezRGRj-zRybJ9He3xmftc8CXSenZAqNbeTwDt3GG9KeI7UCtBnI3oUS5Ot07I837-pQGxYdfj41v3JbuWgil1ku21r1dJ4m6A3GGWF9ZZ85mps09C5-kJYgiZjmyDsoSnozNqLAZdl1Er5s-DZNYsK-Kiv1tBYTczZjyWXxf8cTVMggefmo0lysYPd6v0BTuNPMk0ihFKTAqE256BIHKOh8LRa8GslOpKZM0bCQaOhj6uO0ZtLHIKvX_5WGCAClUHpmUBvhzsqq7-SnVM5lubS65egRrQgeNNrl2mFOpDI1-LGnd0&xkcb=SoB5-_M3WwjjXCRcDR0KbzkdCdPP&p=8&fvj=0&vjs=3,https://www.indeed.com/cmp/Maine-Machine-Products-Company,Maine Machine Products (MMPCo),3.8,"South Paris, ME 04281",Full-time,"We specialize in manufacturing uniquely designed high tolerance precision machined components and assemblies, with a focus on continuous improvement, on-time…",2022-11-24,68641.78181076673
42,Presale Support Analyst (US Work at Home),https://www.indeed.com/rc/clk?jk=1921efd56962f490&fccid=afbf8c270610a38a&vjs=3,https://www.indeed.com/cmp/Cigna,Cigna,3.7,"Remote in Hartford, CT 06152
+1 location",Full-time,"Beyond core production, involvement in trainings, special projects and mentorship may be a part of your day to day.",2022-11-30,22.0
45,Board Certified Behavior Analyst (BCBA) - Soar Autism Center,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-oEocIezJjdxBYOy9BFXoUyuwCpQEOfGwU-P2mO-up4dYRMEMvrI4tO8qG4JrOfrqtXZf81XGjVIE1ViZmxyJvSIgpAUi5I13A80_yThlIfPYkiWjWoU-DUaT27WJR27CnO0P63DiSZWd0BCPwnT_VOmKumO7wnTg3lKyaQhvAwr6cCcv2QKdZDPq-N5aCtkHelhiX_aQGAJT2MsMbv3h6WUdKLYH_Y7aI0CvZhLoLP5IAPsY3suhjEVNMENe5aSAxuockLEIHHPC8uV7Wifi3ILD7eeBc4GRVo_RD8AjThKaLx3JndIytOLebsL10TV_9eku6MqfZyhVYG8rzVoFzj_v-vTajlT0H26t9OeUs0aCAGxNxh5ezKHlhVTldqdoJmXcY_jIwP8gccdN-1q92QblcQwWiA6oCJX7_JQBwcOfLIFNE7cMqKY3m77oir6wVJtIh5u-EnLo3JIhGKpor6BcdvrXFQb6J3OBuuxRZQKRrFuTO8_VpNXqHuwoTwygbON_PGwIa0PHqCAW6KATnPGtWaf_JUc=&xkcb=SoAd-_M3WwjhxPw9QZ0LbzkdCdPP&p=0&fvj=1&vjs=3,https://www.indeed.com/cmp/Soar-Autism-Center-1,Soar Autism Center,4.8,"Denver, CO 80207 
(Northeast Park Hill area)
+2 locations",Full-time,"We follow CDC and public health guidance related to Covid-19, including vaccines/boosters, masks, and testing.",2022-11-18,70000.0
46,Board Certified Behavior Analyst (BCBA)- New Clinic!,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACaI7dvFj1kG90XpR0ROSX9mYROX8BPPfmEaZiqE7oXVp2H-l0f8bs2KjmXMdRf7LXBzxMG40MOX5HWWzDniqoUjA0HNW9jsfGZ4sJ9POG392Jl3CwAUSU8Gf714Ngpibi_bOy880Og9gCFoBBxXG3xInJM5kKEr3jU1xyYp5jvyJJvwrBYaQQx3iVy50AbP_b9LzUBEDOcGehEQK3hYeN57_2Eyrdkm24ANMUcLc1XL1dYqeV3nrOJ_sox5bENwfuwu6eRv-clVMqqclCvVt8CMDLZzPTRbdh3zro0INRCNJeNZG2WtzB2VQnCIplI89p54IAxSZnwd1GuC3ZgPxZjupdtWAT33yfj_vrhEBE-7MhcPiV3du52jWgnvFUB7I1xCm6d-QmH_5pEN5FAFQp9HKkN2fKk83h3rvtgkPZI29kTq02nFJy5mt9I1DaDMUfS5M8SR_fLqXGcqu81-mqp-eVadjNR5OstUrXomWSyeHCJMnUvFOYBDh2tynb9OGwUIPsDEo7yeOToVQAMyMM9nWCoQC4DEU=&xkcb=SoCp-_M3WwjhxPw9QZ0KbzkdCdPP&p=1&fvj=1&vjs=3,https://www.indeed.com/cmp/Stride-Autism-Centers,Stride Autism Centers,4.5,"Grand Island, NE 68801
+7 locations",Full-time,Stride’s ABA program for preschool learners (ages 2-6) utilizes both structured and natural teaching strategies.,2022-11-05,75000.0
47,Planning Analyst (Hybrid),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASgvb-ETMaHj4XoCHHEvyY-4yoogW6Q-x0jMS31WMKn2zXVelvK0gdvTvZBLTvOrIAFVAeWGnLwiXLmPBEO3agd6t1Y7IkUJ3SWGBfYdVg2SNTO-RxZT6ffS-pSD_5Rbn_bDt1s5xAxQUhMeH8PmqOFUpyKwvIkNCqRsM1iuSjEcCPwQg_ilxr2X1O4Mu6uuKKptrXCAzbQUVe_27qalN0mpi4FTyW9yXJwX4sU7Hl6oNgPFQS6xCTUj0unZsthoExjd6ROqKlgmm0rIO1fjDYhIo0muZLcBTYsWpc5eWP36F-0CCwPaB3PCE8k8N-CscL7ljvrb4p0DA3Cwwno8aCqV_KU6NI0khKPYf_RF4_TBRscPEGAkpPBLH93ef3fjA7zN1o5lj6VHfwY7yZcoOBFFexa25oWTXka9M1BLoY1jz5hB_vvZ6ltLYbmBJ4-QLqJ2JJkpaH4EchG879kDMzg_xPXvWASczeycNQmoKujJLmX5Gab6VPlLT8nv0ZYh3HMzXAhxGing==&xkcb=SoA0-_M3WwjhxPw9QZ0JbzkdCdPP&p=2&fvj=0&vjs=3,https://www.indeed.com/cmp/State-of-Connecticut,State of Connecticut - Department of Social...,3.9,"Hartford, CT 06105 
(Asylum Hill area)
+1 location",Full-time,Exceptions are rare and limited to documented events that incapacitate a candidate during the entire duration of the job posting time period.,2022-11-23,71147.0
49,Development Acquisitions Analyst (Boston HQ),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcdFMvJS11aVsYkZOaZSqftqsBWy6huSWRGM--e5jQFXK6lNsLAZ2K18mndoyWD8GvlW-vFw5N2Uq_bWjx8FDM5PsXAFMcCraaDDIS6bhOJylhSlxjVsUaeD8JZWGYFEkdgGuCFc9dzRKdis_bAyPQ3skPHr3tIbLVdB3Y7_nCbS-qC_b_RvOLRLW6K8XnuPJIUnXSyR_SQPCBJYnFb7tlzPCBcpY8OAHJ7QWkKN5MKDbPrWZ_U5zfestcdL5AtiLqgV8-Li5W3K-OttsmfTybEfnOpmvfx_Ta7gZVaGyDfZPtSUkZBECCXN2Gdi-Xcy_ofTTwSfQphiNQOn9_anf0l1Bh6v5gZLHNrAYJznwkWjI87pbSQ9OJagYzUmBuswgK32XbC-ijSNEteHVVfN-77Hm705T4pMK4ptFDN0KJ-rFFYSO_2-M69eeXGTg_ZdM5BqFsopqn8ty7kjX1XpHXqt_Z4dkPMiFjqBu9s4QzUZ9c4T7R6QbGKjkIDHX5GZBd3kR5eIM7mTqDAASmCLOiXBpv_AytZscXjkeILOaOvg==&xkcb=SoCT-_M3WwjhxOQ9QZ0LbzkdCdPP&p=4&fvj=0&vjs=3,https://www.indeed.com/cmp/Winncompanies,WinnCompanies,3.1,"Boston, MA",Full-time,"The Acquisitions Analyst is responsible for identifying, analyzing, and evaluating multifamily acquisition and development opportunities working in conjunction…",2022-11-05,68641.78181076673
