tweet_id,job_url
1588600735255642112,https://t.co/9DxSXDK4Zm
1588609982429204481,https://t.co/hHGr2pVbtC
1588660882975907842,https://t.co/vKA0qg2KBH
1589990570075701249,https://t.co/ottvS2Xro3
1590016267515142145,https://t.co/9CPoNNNuM0
1590042310120599552,https://t.co/sIu22e6E8i
1590057657246760960,https://t.co/u4BD8gnptG
1590059507107127297,https://t.co/YnaoTaV3Pw
1590071461246808064,https://t.co/jMjgCue8ko
1590094759506284544,https://t.co/xwSnb287PT
1590102456867790849,https://t.co/J2mZXCvC7W
1590350704774119424,https://t.co/apIzyyOJJ6
1590399902638833664,https://t.co/3oYsomHago
1590407580962414592,https://t.co/pmHpFXDQfg
1590651914265726977,https://t.co/sbqsdfIAAp
1590676016959131648,https://t.co/vBKr5Dshiv
1590811155244584960,https://t.co/YtMhtpuJgv
1590816206264492032,https://t.co/i29nnbZJE8
1590823441959030784,
1591038353105125376,https://t.co/Bzwq3SIN7U
1591129017481977859,https://t.co/6fGeh5wawF
1591136545645350912,https://t.co/EyFVkLAHku
1591457620371439616,https://t.co/yXhQotGHmS
