Job_Title,Job_URL,Company_name,Company_URL,Rating,Salary,Job_Type,Job_description,Post_Date,Location
Javascript/Node.js Developer (Part Time),https://www.indeed.com/rc/clk?jk=e8e686bcc3c2afb1&fccid=907e6a632c1527fe&vjs=3,Unruly Studios,,,"$80.8K - $102K a year
 Indeed est.",Part-time,"Technical expertise in JavaScript, Node.js and cloud-based microservice development.","Posted
Posted 30+ days ago","Boston, MA 02108 
(Downtown area)"
Senior Software Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cnb7CVOcvUS9f7GpA9Tfg4I6KpQ8aS0J3NNbzNOuZHZxDyB14KkkANNWBMLXvM2bW-K24Lz4zoOziIBpdC-IH3micIrZcLBFrOvnuVjxQRQ90sOhFK0CMoeQClV6u_OPaD1sOT17s1o9a4BhsjoYcYkERPhpL9UJBhRIR1GeiagOKo4OVTqcpuGaotGIqQzIz6mZKKO6eqCHLDdNCu5st7KGfcCN6qgykmTqGJChJ_73TCgzbEBhgRFzLxmieImqVqNyvtChvoiLiMiFchIDH2_iYzt3_bgFsVrhhTg-ShwRJs6HMXzvT6aTHCSjV_gtSuuVs7JU1vTLrFx9DKEC37GcAfQrD_L86FTmpo368YVa5UyQXHZIiCgtgLQi-NJffeKo_s7aNJAkij7RtcNw8T9rQ_jWRPoNqme6JPQvzBvqcz-3tJ_lmULIlQOhFQFul9D66xAXHsWukJAaHLocM2rYF8u_S3CPakWncc9E26qegCNZvGX3U7Uazpl-6vUFfxxwRtbhmL5dm_prrxGXBOovCS2QVa8iZmaWXuIwdwzHc14qrUZ6_fhkfSos25DbI=&xkcb=SoCy-_M3VJKh5NwgcZ0JbzkdCdPP&p=11&fvj=0&vjs=3,RestorixHealth,https://www.indeed.com/cmp/Restorixhealth-Amt-1,3,"$113K - $143K a year
 Indeed est.",Full-time,Experience in designing and implementing large scale systems using modern cloud-based technologies.,"Posted
Posted 30+ days ago",Remote
AWS Cloud Developer,https://www.indeed.com/rc/clk?jk=29ccc484862ee629&fccid=352fb5939d715eeb&vjs=3,Tek Ninjas,,,"$107K - $135K a year
 Indeed est.",Contract,,"Posted
Posted 29 days ago","Merrimack, NH 03054"
Software Engineer - Backend (All Skill Levels),https://www.indeed.com/company/Wolfjaw-Studios/jobs/Software-Engineer-d02eefd6b5923b34?fccid=be664bb53cdcedc6&vjs=3,Wolfjaw Studios,,,,Full-time,Experience with containerization and/or cloud-hosted services.,Hiring ongoing,Remote
Senior Java Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQ6UeBurswhMmzg_0Uro9PIfT71DsQglHA5GFhKL2jSFQYRLKTDBnSK417u9khe8DhWo1Usw2L3ceMK8Rk560sj5jxhz5FCxmASlYFCLEwoOaCykI3BcoSam5AI2d_uNpHUCRgymfjBO3tA8tyYoyz3AKaD2FlcjJa8rA1Y-4umxtZrdRtkiIcE3Ub2H4BXy3QW6xIRQ5NGjLahsjBoZgHEOlqvdXb9Ut7LZRS009M7e_078iVT06rRM_k1cnElaCTs5nGzMHF0n17W04X7xFgB1x9tQNMFl_GxXSdKqlcK1Geoqmok1WX5FSpHdzlchb94D721JKJYwgskMHcOmrSpryWhBur2-W192-4OV0uUxi3-8dP9BU1KeJRiSDaL36K2LyWupxxOfZ33Iux_7dJ14o4qYvQw4-KCZn9ZsnRBCb59Q03AzK5VjfbPG4grl8a6MXX4PfsXXuRv55yMjuv9KgFxeNong6jl3038WiTW-Q3mJTJdA5vjkUMfP-gSQM=&xkcb=SoA8-_M3VJKh5MQgcZ0JbzkdCdPP&p=14&fvj=0&vjs=3,Gallup,https://www.indeed.com/cmp/Gallup,3.8,"$100K - $127K a year
 Indeed est.",,Working knowledge of AWS cloud technologies preferred.,"Posted
Posted 12 days ago","Hybrid remote in Omaha, NE"
Software Engineering Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_H3FLVzZpyvfvZuUWdVJVDivJwBzLhH0NoYjfgUKgl4gzoAtLbbazST4a733Yv6YgR4vNPiQEe8n76I1WSn7oVsDLR5iVjkM_UurJLCsIqhTBDGWTgabQkJ1Caoes_CrfEgBqvdk6FAlUR-bm03Ly-JJm_R9gjkWy9tVCy3mKhRJPe-7ohD40iXvKhvEo3ZFmmaLwn15FiOJ2XFGF_rGn4JY1VsedcHUPMG_RJvb3-Ly4hbQSzCoYXCuvOZqiCWfTif7sWflbe5EroPkNUzXEHd42p-AXzr8yregUJw9_9ysxE76oq19GISPSkUVj_feVUfeKfcN5N0j6uqtszzP6-AaXMpQOEmaRIaXaARKUDIJWYvG3vWkz9n-9ekGb8Grt-QJ211LRX6jwN4BB6FaLBG2_b_2CtgKaIhvvOA3LKz3zaUXExXS1gqdBlrCQdfM=&xkcb=SoCY-_M3VJK_gWxTpx0LbzkdCdPP&p=0&fvj=0&vjs=3,Codazen,https://www.indeed.com/cmp/Codazen,3,"$121K - $153K a year
 Indeed est.",Monday to Friday,Lead engineering teams responsible for development of highly visible and impactful web experiences and intelligent web/cloud applications.,"Posted
Posted 30+ days ago","Irvine, CA"
Senior Sitecore Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DU7nQRDbH4s4aLIJcXdF8O4sVsxvpk95xASanc1ljvNVyXZw4Rjv6EyseQPZ-6KT53sgV3SS43VBjdLMI1zCRKDscyhMFBHNCnrdtXhHBJK1AMA2d_2GwfEGIcokM0DZU5JApEESeu4J1Am60Lg2PomgfrTW5jXQjTmbCNK-6_BlOKHdu-jalXmT8EnJq2YiYJl2JANhzrPy-B-VLL90irLPS36Mi596_au8GZZSfcMITNRNxfhxmBqcINKhwJLu9nDqZHJGpeibMwkcrnuqxZJPNAJgFpXBwfye81nzFrIG2opoJKNQ-nLEnI0MM9uppPAGWt5SaO08XLY54Y_VUlpd3gPExsuWC8MBP649CFmWY96bceYRLTY1g2yFgUVcmu2rqucguweZCm7YpbVdiSag4onahmWg1LJN4tWD-x5z4CV3nSKzBcJR9_E43MdbPJ70UJTIGzq_11Rj5JR13CNFi086IS9AHJpzvBtJafoxKCq_2TeY8TiUlTFunH8NRz9a-pEv-Aty6FsPenuKKLjFOnBlcyPZFRy3RRN2HbEg==&xkcb=SoAs-_M3VJK_gWxTpx0KbzkdCdPP&p=1&fvj=0&vjs=3,"Arrow Electronics, Inc.",https://www.indeed.com/cmp/Arrow-Electronics,3.5,"$86.5K - $110K a year
 Indeed est.",Full-time,Experience working on a cloud computing platform (Azure/AWS/GCP).,"Posted
Posted 30+ days ago","Remote in Florence, SC 29501"
"Lead, Software Engineer (Remote-Eligible)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VC4eyeLgT6Q_Cm2AtpIWvthRH7Q-jA2sB_D8nzefXp2BCqpOH-JF8aDGCxoJI4kVZcUKVyDNkA1aqAa_oKEKEwiX3F_n1bLRA2judhad2chLpqNcvEOaZircDy7idXGIBLMsbq7-V4ACeouz4dVbUB6DgSznt3a1MtZWLDwBSTmOhW0aRXnkAcVB5jcTkIlZcbWiuA_2-GKmBdRVlBlkdZGUCUGvFJuuCHwEHbfKTvWY6bY08g7SOlbYblFNnrLjRX7PpSASDuTd3QsjGWgFOgII8gEGY_1eeUfwVoItH4uQQjXImWruMH5p8brgZU_0JzupVGa8PsTmEooM3CGZHEhkTdn6MNwnHIyvGqNg65mhjTdCc9Q-lw&xkcb=SoCx-_M3VJK_gWxTpx0JbzkdCdPP&p=2&fvj=0&vjs=3,Capital One,https://www.indeed.com/cmp/Capital-One,3.9,,"Full-time
+1","2+ years of experience with AWS, GCP, Azure, or another cloud service.","Posted
Posted 2 days ago","Remote in Boston, MA 02112"
Full Stack Software Engineer Lead/Advisor - Climate Impact Team,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54jeE5j1uK-pY2r3VszcKpTgFJ_VNhO01fvGETxLF5s6Gch6P-I6ZjruW4ude3wc_CLgud8TAXjnFGVduAckFNe3SJetVxTmxcO_AxM9pw9cWW-q1UKB2hFbKPipGeBevAN-YguaTex5eSlvFOp5KzC7kbhXYxemYgbRmzUVB-VK_jZg-2G-hMQp6sM4O__tdgd4TzG-szu6XVxZNsib0mkWkyA3Rp0dAMN-aZnxVH0Gu2TsQpT4Yci53G7IXigyxi_lV7M5N32ZQK19lDJcPpv5Bjp7xuhkkIz0aYoxQsfrswbEf43FVHpaOOWiPVrI2cO9o03yTWinc-loeBWxXquPHuHd0hGan0HlfqklWxLnAzuvFQSVXN6LQkWCPTCE9oo0cRGMSdysmCa4Ax_fWckP9weJ0gJwQjWFpOpiRWBsw7nR1fEcT_qs3_SN3Lo2FkNUDWId4Ty2lwwUPCP_M8F1&xkcb=SoAF-_M3VJK_gWxTpx0IbzkdCdPP&p=3&fvj=0&vjs=3,Fannie Mae,https://www.indeed.com/cmp/Fannie-Mae,4,"$140K - $177K a year
 Indeed est.",Full-time,"Must be a full-stack developer and understand concepts of software engineering, testing and architecture.","Posted
Posted 30+ days ago","Washington, DC 20022"
Cybersecurity Software Engineer Staff,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuMqUtaNIakuoGTB-u7I0EvtcrTK1_bHO6_bsORPCvsL7zkQUfIzpY4doIgp_GoHo2SGU3gshiy1LaS9dsLlg5erHAtqBmcwNKwKdq7vCc8g_9xPrrYf_6d3AhqOYANxB9npz3OQPWJubAGUnyaWdaY6YsizyDUHHKihUIUO6DgETz4R9Nc8WS7j1ySJTT8WO29hNYgUi5k3bqDy9NWapiZCczsEoR9Ncu_B0FRBUvP4QHHd_HXbmn57sjdfprkB1czhyM5U3l_o1ZAwA2H7tXXJeadhb3o5qDH467uCmtmwn4Ntz_MDFfFsROmHaz8L_vts2GsAmLi69C0ydmZP9WuwENaTcw5HQK2qIKZTEFlnZvUQxJuNczOtaxarVkoFmdUzMuZMsiIyWznI70gW9sxlqTFinsvBzamR1zSSUxWcP1-pP2AXaKAW71fN8mnw3q7aErBRF2edju6ifcB4aOpSYtAMCudciVDp6d39fIiMtyM58uDyulGTYKxXz_AQsN0NNTPxpvU-M9ZwgrtaLLVBIrIHM3isdHa8FEw8Ltbz6IaR76xtLKndizUcE22zhVwuIjmyIVCWwBUutLjpLS4KQl-m9TkObuzJsZVCoYyb8S03saiBJJDJtMMCVyG9C8cFsCnYPFSV5Gp4qhQNpChgZBisjx2v7CnsiV4StrL3nZJmh67Z-e4VVfkUHDsahFNhM7zQ3IDOJPcoYSVXvm6ttHghz9dsmtPPYph2wYUuyS-HHnQi8d3WiBd2kTItI9Bh4pa0q3wA==&xkcb=SoCL-_M3VJK_gWxTpx0PbzkdCdPP&p=4&fvj=0&vjs=3,LOCKHEED MARTIN CORPORATION,https://www.indeed.com/cmp/Lockheed-Martin,4,,,Moderate to strong familiarity hands-on experience with cloud technology - virtual machines and containers.,"Posted
Posted 26 days ago","Manassas, VA 20110"
Azure Cloud Engineer,https://www.indeed.com/company/Evurge-Solutions/jobs/Azure-Cloud-Engineer-47a01d31d9959209?fccid=e522702fb08bcc5e&vjs=3,Evurge Solutions,,,,"Full-time
+2",Leads review of automation of cloud services to ensure cloud tasks are automated where possible to remove human delays and mistakes.,Hiring ongoing,Remote
Cloud Database Developer,https://www.indeed.com/company/United-Softw/jobs/Cloud-Database-Developer-e6a71984201c000c?fccid=91392fe756c65545&vjs=3,"USG, Inc",,,,Full-time,This role will work with internal engineering teams in delivering digital solutions on cloud.,"Posted
Posted 27 days ago","Boston, MA 02108 
(Beacon Hill area)"
Assoc Developer,https://www.indeed.com/rc/clk?jk=8a3b8d29cd3cd1fe&fccid=3022ac4d64febedb&vjs=3,PPL Corporation,https://www.indeed.com/cmp/Ppl-Corporation,3.5,"$100K - $127K a year
 Indeed est.",Full-time,"The developer approaches software holistically, catering to both user experience and functionality.","Posted
Posted 30+ days ago",Remote
Node.js(Backend) Developer,https://www.indeed.com/company/AIT-Global-Inc/jobs/Node-Js-Developer-729ffa64f8876808?fccid=48e257f10c97d0b3&vjs=3,AIT GLOBAL INC,https://www.indeed.com/cmp/Ait-Global-Inc,4.1,,Contract,Familiar with managing applications in cloud.,"Posted
Today",Remote
AWS Cloud Developer,https://www.indeed.com/rc/clk?jk=971158f7cd6aea56&fccid=40754da7eb7b3401&vjs=3,FalconSmartIT,,,"$113K - $144K a year
 Indeed est.",Contract,"Extensive Experience operating, automating, and scaling cloud-based container, and micro-services solutions in AWS (Docker/Kubernetes).","Posted
Posted 30+ days ago","Remote in Dover, DE 19901"
Full Stack Developer,https://www.indeed.com/company/Shtudy/jobs/Full-Stack-Developer-a95f398ee2b173b2?fccid=945ef59c3b12725e&vjs=3,Shtudy,,,,"Full-time
+2",3+ years of significant experience as a full-stack developer (rare exceptions for highly skilled developers).,Hiring ongoing,Remote
Python Developer,https://www.indeed.com/company/DSMH-LLC/jobs/Python-Developer-0a47b144cc6de0c9?fccid=cec1996c9bfed425&vjs=3,DSMH LLC,,,,Contract,"Good understanding and, preferably, development experience within Agile process • Strong technical and problem-solving skills • Practical knowledge of Cloud…","Posted
Posted 30+ days ago",Remote
Unity 3D Developer,https://www.indeed.com/rc/clk?jk=41d0b8b21f6bf98a&fccid=1939f023cebd51e0&vjs=3,i2e Consulting,,,"$90.2K - $114K a year
 Indeed est.",Full-time,"As a Unity 3D developer, you will be in charge of creating interactive and engaging AR/VR/MR experiences.","Posted
Posted 8 days ago",Remote
AWS Cloud Developer,https://www.indeed.com/company/RD-Solutions/jobs/Aws-Cloud-Developer-6f16ea3ecc456b26?fccid=f5f7303de9e7b4e7&vjs=3,Rd solutions,https://www.indeed.com/cmp/Rd-Solutions,3.7,"$108K - $137K a year
 Indeed est.","Full-time
+1","Extensive Experience operating, automating, and scaling cloud-based container, and micro-services solutions in AWS (Docker/Kubernetes).","Employer
Active 16 days ago",Remote
"Senior Software Engineer, Back End (Remote Eligible)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VC4eyeLgT6Q2_MQIuXxAHW_XRH2qe46DLri1g0UlrYlyQ91pPqdzGiblzAMEb10PdaGIdfEftvu8kGcPKr1sdY0v1y1VrHX3YRYot7_McteJkhdcSvNa1ir6UKCq_CEJLrQ9fM8PgzYBr6EBDjzpy4NbEXEWD75R0XGEnBXJQ3VF1dlXY-pGqIyefTygUXu2XNifGUaCeltvQvFZ_gCCGbXdL1q98hj7fUzj4NE5OqGpW-x34jVpGMV5op9WdB16FUIVRa9UeRxUIY-ugrodyBV-x68-Go2wzzWf3RnG7LbcHjiPXl5x8oXBu2oT6DWsMj6_nYCF9B4ZnQNNAgBGSX4hxbuZHfUlzMQ0GL-yJw1KYTqqrth6Nk&xkcb=SoBC-_M3VJK_gRxTpx0JbzkdCdPP&p=14&fvj=0&vjs=3,Capital One,https://www.indeed.com/cmp/Capital-One,3.9,,"Full-time
+1","1+ years of experience with AWS, GCP, Azure, or another cloud service.","Posted
Posted 2 days ago","Remote in Boston, MA 02112"
