Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0006997,Customer Service Rep-Aurora- 808,4/1/2019,"Aurora, IL",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Fremont-NE/Customer-Service-Representative-PT-Fremont--NE--11--14-hr_R0007091-1
C0000258,R0006975,Customer Service Rep l-847,4/1/2019,,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Newaygo-MI/Customer-Sales-Rep--4175_R0007096-1
C0000258,R0006948,CUSTOMER SERVICE REPRESENTATIVE,3/26/2019,"Santa Rosa, CA, More...",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Stockton-CA/Customer-Service-Support-I---Retail_R0007085-1
C0000258,R0006935,Customer Service Support I - Retail,3/26/2019,"Sacramento, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sacramento-CA/Sales-and-Service-Specialist_R0007086-1
C0000258,R0006927,CSR,3/26/2019,"Ukiah, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Orange City-FL/Customer-Service-Support-III---Retail-2116_R0007083-1
C0000258,R0006938,Retail Store Manager - Roseville - 5920,3/26/2019,"Roseville, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0007090  /Sales-and-Service-Representative---Greater-Flint--MI_Posted20DaysAgo-1
C0000258,R0006892,Sales & Service Specialist - Chino 226,3/25/2019,"Chino, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Waterford-MI/PT-Sales-and-Service-Associate---7117-Waterford_R0007070-1
C0000258,R0006353,"Senior Credit Analyst, Statistician",3/25/2019,"Cincinnati, OH",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Fort Gratiot-MI/Sales-and-Service-Specialist--I---Retail---Fort-Gratiot--MI_R0007077-1
C0000258,R0006885,Customer Service Representative,3/25/2019,"Sacramento, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Detroit-MI/PT-CSR-5913_R0006991-1
C0000258,R0006882,RI FLOATING STORE MANAGER,3/25/2019,"Providence, RI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Detroit-MI/Customer-Service-Representative--5913_R0007055-1
C0000258,R0006860,Floating Sales and Service Associate - 6665 Oak Park,3/25/2019,"Oak Park, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Port Huron-MI/Customer-Service-Support-I---Retail---Port-Huron--MI_R0007063-1
C0000258,R0006824,Customer Service Representative PT 7371 ,3/25/2019,"Saginaw, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Cincinnati-OH/Human-Resources-Business-Partner_R0007042-1
C0000258,R0006821,Customer Service Representative PT 6655 ,3/25/2019,Mt Pleasant,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Traverse City-MI/Sales-and-Service-Associate---Traverse-City---6658_R0006492-1
C0000258,R0006822,Customer Service Representative PT 7300 Essexville,3/25/2019,"Essexville, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Grand Rapids-MI/Customer-Sales-Rep--6643_R0007027-1
C0000258,R0006823,Customer Service Representative PT 7321 Saginaw,3/25/2019,"Saginaw, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Aurora-IL/Customer-Service-Rep-Aurora--808_R0006997-1
C0000258,R0005209,Customer Service Representative PT 5919 Saginaw,3/25/2019,"Saginaw, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0006975  /Customer-Service-Rep-l-847_Posted28DaysAgo-1
C0000258,R0006819,Customer Service Representative PT 2761 ,3/25/2019,Houghton Lake,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Santa Rosa-CA/CUSTOMER-SERVICE-REPRESENTATIVE_R0006948-1
C0000258,R0006820,Customer Service Representative PT 7127 Ludington,3/25/2019,"Ludington, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sacramento-CA/Customer-Service-Support-I---Retail_R0006935-1
C0000258,R0006789,Floating Store Manager - Oakland/Macomb County,3/25/2019,"Clinton Township, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Ukiah-CA/CSR_R0006927-1
C0000258,R0006733,Customer Service Support I - Retail,3/25/2019,"Sacramento, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Roseville-MI/Retail-Store-Manager---Roseville---5920_R0006938-1
C0000258,R0006734,Sales & Service Specialist - 232 Hemet,3/25/2019,"Hemet, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Chino-CA/Sales---Service-Specialist---Chino-226_R0006892-1
C0000258,R0006735,Part Time Sales and Service Associate - 5907 Waterford -,3/25/2019,"Waterford, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Cincinnati-OH/Senior-Credit-Analyst--Statistician_R0006353-1
